--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
024.069  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
024.094  000.022  000.022: require('neo-tree')
024.641  000.016  000.016: require('vim.treesitter.language')
024.655  000.012  000.012: require('vim.func')
024.672  000.015  000.015: require('vim.func._memoize')
024.688  000.103  000.060: require('vim.treesitter.query')
024.705  000.017  000.017: require('vim.treesitter._range')
024.712  000.174  000.055: require('vim.treesitter.languagetree')
024.735  000.224  000.050: require('vim.treesitter')
024.737  000.245  000.021: require('nvim-treesitter.compat')
025.384  000.594  000.594: require('nvim-treesitter.parsers')
025.444  000.058  000.058: require('nvim-treesitter.utils')
025.447  000.686  000.034: require('nvim-treesitter.ts_utils')
025.451  000.714  000.028: require('nvim-treesitter.tsrange')
025.479  000.026  000.026: require('nvim-treesitter.caching')
025.491  001.027  000.042: require('nvim-treesitter.query')
025.500  001.083  000.056: require('nvim-treesitter.configs')
025.501  001.173  000.089: require('nvim-treesitter-textobjects')
025.660  000.054  000.054: require('nvim-treesitter.info')
025.707  000.046  000.046: require('nvim-treesitter.shell_command_selectors')
025.724  000.198  000.099: require('nvim-treesitter.install')
026.015  000.290  000.290: require('nvim-treesitter.statusline')
026.063  000.047  000.047: require('nvim-treesitter.query_predicates')
026.065  000.563  000.028: require('nvim-treesitter')
026.140  000.042  000.042: require('nvim-treesitter.textobjects.shared')
026.144  000.074  000.032: require('nvim-treesitter.textobjects.select')
026.206  000.059  000.059: require('vim.iter')
026.293  000.029  000.029: require('nvim-treesitter.textobjects.attach')
026.340  000.046  000.046: require('nvim-treesitter.textobjects.repeatable_move')
026.345  000.112  000.037: require('nvim-treesitter.textobjects.move')
026.525  000.030  000.030: require('nvim-treesitter.textobjects.swap')
026.590  000.034  000.034: require('nvim-treesitter.textobjects.lsp_interop')
026.604  002.282  000.237: sourcing /home/hellotalk/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
026.606  002.292  000.010: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
026.611  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
026.616  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
026.981  000.345  000.345: sourcing /home/hellotalk/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
026.983  000.355  000.011: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
026.985  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
026.990  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
027.477  000.063  000.063: require('nvim-treesitter.indent')
027.571  000.025  000.025: require('nvim-treesitter.highlight')
027.736  000.048  000.048: require('nvim-treesitter.locals')
027.739  000.083  000.035: require('nvim-treesitter.incremental_selection')
027.834  000.021  000.021: require('render-markdown.config.injections')
027.857  000.023  000.023: require('render-markdown.config.patterns')
027.879  000.021  000.021: require('render-markdown.config.anti_conceal')
027.898  000.019  000.019: require('render-markdown.config.padding')
027.919  000.020  000.020: require('render-markdown.config.latex')
027.937  000.018  000.018: require('render-markdown.config.on')
027.957  000.019  000.019: require('render-markdown.config.completions')
027.984  000.026  000.026: require('render-markdown.config.heading')
028.004  000.020  000.020: require('render-markdown.config.paragraph')
028.075  000.070  000.070: require('render-markdown.config.code')
028.116  000.040  000.040: require('render-markdown.config.dash')
028.151  000.035  000.035: require('render-markdown.config.document')
028.188  000.036  000.036: require('render-markdown.config.bullet')
028.230  000.041  000.041: require('render-markdown.config.checkbox')
028.264  000.034  000.034: require('render-markdown.config.quote')
028.307  000.043  000.043: require('render-markdown.config.pipe_table')
028.386  000.078  000.078: require('render-markdown.config.callout')
028.453  000.066  000.066: require('render-markdown.config.link')
028.484  000.031  000.031: require('render-markdown.config.sign')
028.514  000.029  000.029: require('render-markdown.config.inline_highlight')
028.567  000.052  000.052: require('render-markdown.config.indent')
028.608  000.040  000.040: require('render-markdown.config.html')
028.662  000.054  000.054: require('render-markdown.config.win_options')
028.694  000.032  000.032: require('render-markdown.config.overrides')
028.728  000.033  000.033: require('render-markdown.config.handlers')
028.729  000.948  000.047: require('render-markdown')
028.836  000.106  000.106: require('render-markdown.lib.presets')
028.954  000.068  000.068: require('render-markdown.lib.compat')
029.014  000.059  000.059: require('render-markdown.lib.env')
029.160  000.033  000.033: require('render-markdown.lib.str')
029.162  000.068  000.035: require('render-markdown.lib.line')
029.175  000.013  000.013: require('render-markdown.lib.resolved')
029.187  000.011  000.011: require('render-markdown.lib.iter')
029.188  000.135  000.042: require('render-markdown.lib.config')
029.189  000.166  000.032: require('render-markdown.state')
029.218  000.016  000.016: require('render-markdown.core.log')
029.255  000.011  000.011: require('render-markdown.request.callout')
029.267  000.012  000.012: require('render-markdown.request.checkbox')
029.283  000.015  000.015: require('render-markdown.request.conceal')
029.294  000.011  000.011: require('render-markdown.request.offset')
029.305  000.010  000.010: require('render-markdown.request.used')
029.334  000.017  000.017: require('render-markdown.lib.node')
029.346  000.012  000.012: require('render-markdown.lib.range')
029.348  000.042  000.014: require('render-markdown.request.view')
029.349  000.118  000.017: require('render-markdown.request.context')
029.364  000.015  000.015: require('render-markdown.lib.marks')
029.377  000.012  000.012: require('render-markdown.core.ts')
029.378  000.159  000.014: require('render-markdown.handler.html')
029.403  000.012  000.012: require('render-markdown.lib.indent')
029.405  000.027  000.015: require('render-markdown.handler.latex')
029.419  000.013  000.013: require('render-markdown.handler.markdown')
029.446  000.027  000.027: require('render-markdown.handler.markdown_inline')
029.447  000.258  000.016: require('render-markdown.core.handlers')
029.496  000.012  000.012: require('render-markdown.lib.decorator')
029.510  000.013  000.013: require('render-markdown.lib.extmark')
029.513  000.046  000.020: require('render-markdown.core.ui')
029.516  000.065  000.020: require('render-markdown.core.manager')
029.569  000.033  000.033: require('render-markdown.integ.source')
029.571  000.048  000.014: require('render-markdown.integ.blink')
029.589  000.018  000.018: require('render-markdown.core.colors')
029.656  000.022  000.022: require('render-markdown.api')
029.657  000.040  000.018: require('render-markdown.core.command')
029.696  001.931  000.155: sourcing /home/hellotalk/.local/share/nvim/lazy/render-markdown.nvim/plugin/render-markdown.lua
029.698  001.943  000.011: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
029.702  000.002  000.002: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
029.706  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
029.789  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
029.792  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
029.916  000.014  000.014: require('toggleterm.lazy')
029.928  000.011  000.011: require('toggleterm.constants')
029.967  000.038  000.038: require('toggleterm.terminal')
029.970  000.177  000.114: require('toggleterm')
030.000  000.013  000.013: require('toggleterm.colors')
030.014  000.014  000.014: require('toggleterm.utils')
030.017  000.046  000.018: require('toggleterm.config')
030.455  000.041  000.041: require('toggleterm.commandline')
030.541  000.016  000.016: sourcing /usr/local/nvim/share/nvim/runtime/plugin/editorconfig.lua
030.542  000.027  000.011: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
030.575  000.017  000.017: sourcing /usr/local/nvim/share/nvim/runtime/plugin/man.lua
030.586  000.035  000.018: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
030.658  000.064  000.064: sourcing /usr/local/nvim/share/nvim/runtime/plugin/matchparen.vim
030.659  000.071  000.007: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
030.684  000.016  000.016: sourcing /usr/local/nvim/share/nvim/runtime/plugin/osc52.lua
030.685  000.023  000.007: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
030.715  000.022  000.022: sourcing /usr/local/nvim/share/nvim/runtime/plugin/shada.vim
030.716  000.029  000.007: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
030.730  000.006  000.006: sourcing /usr/local/nvim/share/nvim/runtime/plugin/spellfile.vim
030.731  000.013  000.008: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
030.780  028.114  013.228: require('configs.lazy')
030.909  000.128  000.128: require('configs.keymaps')
